縣市別,場址名稱,場址坐標,場址地址,場址地號,場址種類,場址面積(平方公尺),公告為控制場址日期,公告為控制場址公文,公告解除控制場址日期,公告解除控制場址公文,公告為整治場址日期,公告為整治場址公文,公告解除整治場址日期,公告解除整治場址公文,公告劃定地下水受污染限制使用地區及限制事項日期,公告劃定地下水受污染限制使用地區及限制事項公文,公告解除劃定地下水受污染限制使用地區及限制事項日期,公告解除劃定地下水受污染限制使用地區及限制事項公文,場址列管狀態,土壤/地下水污染物,污染情形,場址現況概述,重要注意事項,改善整治進度
臺北市,臺北市北投區豐年段一小段四五八地號,X：299657，Y：2779842,無,臺北市北投區豐年段一小段四五八地號,農地,3145,2004/12/10,府環二字第09305914700號,2008/04/18,府環二字第09732012900號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘/無,土壤重金屬污染,因年代久遠，資料不可考。,地上之食用作物剷除銷毀，並限制農地得選擇辦理停耕領取補償或得選擇種植供觀賞用途之花卉、種苗等非供人、畜直接或間接食用之作物，但不得領取停耕補償，且應配合土壤整治需要，隨時終止種植，不得要求停耕補償。,完成控制並解除列管
臺北市,臺北市北投區豐年段一小段四五九地號,X：299675，Y：2779815,無,臺北市北投區豐年段一小段四五九地號,農地,602,2004/12/10,府環二字第09305914700號,2008/04/18,府環二字第09732012900號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘/無,土壤重金屬污染,因年代久遠，資料不可考。,地上之食用作物剷除銷毀，並限制農地得選擇辦理停耕領取補償或得選擇種植供觀賞用途之花卉、種苗等非供人、畜直接或間接食用之作物，但不得領取停耕補償，且應配合土壤整治需要，隨時終止種植，不得要求停耕補償。,完成控制並解除列管
臺北市,臺北市北投區豐年段一小段四五九之二地號,X：299615，Y：2779843,無,臺北市北投區豐年段一小段四五九之二地號,農地,621.38,2004/12/10,府環二字第09305914700號,2008/04/18,府環二字第09732012900號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘/無,土壤重金屬污染,因年代久遠，資料不可考。,地上之食用作物剷除銷毀，並限制農地得選擇辦理停耕領取補償或得選擇種植供觀賞用途之花卉、種苗等非供人、畜直接或間接食用之作物，但不得領取停耕補償，且應配合土壤整治需要，隨時終止種植，不得要求停耕補償。,完成控制並解除列管
臺北市,臺北市北投區豐年段一小段四五九之三地號,X：299617，Y：2779830,無,臺北市北投區豐年段一小段四五九之三地號,農地,1242.75,2004/12/10,府環二字第09305914700號,2008/04/18,府環二字第09732012900號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘/無,土壤重金屬污染,因年代久遠，資料不可考。,地上之食用作物剷除銷毀，並限制農地得選擇辦理停耕領取補償或得選擇種植供觀賞用途之花卉、種苗等非供人、畜直接或間接食用之作物，但不得領取停耕補償，且應配合土壤整治需要，隨時終止種植，不得要求停耕補償。,完成控制並解除列管
臺北市,臺北市北投區豐年段一小段四六○地號,X：299639，Y：2779804,無,臺北市北投區豐年段一小段四六○地號,農地,3248,2004/12/10,府環二字第09305914700號,2008/04/18,府環二字第09732012900號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘/無,土壤重金屬污染,因年代久遠，資料不可考。,地上之食用作物剷除銷毀，並限制農地得選擇辦理停耕領取補償或得選擇種植供觀賞用途之花卉、種苗等非供人、畜直接或間接食用之作物，但不得領取停耕補償，且應配合土壤整治需要，隨時終止種植，不得要求停耕補償。,完成控制並解除列管
臺北市,臺北市北投區豐年段一小段四六一(部分)地號,X：299627，Y：2779724,無,臺北市北投區豐年段一小段四六一(部分)地號,農地,3711.54,2004/12/10,府環二字第09305914700號,2008/04/18,府環二字第09732012900號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘/無,土壤重金屬污染,因年代久遠，資料不可考。,地上之食用作物剷除銷毀，並限制農地得選擇辦理停耕領取補償或得選擇種植供觀賞用途之花卉、種苗等非供人、畜直接或間接食用之作物，但不得領取停耕補償，且應配合土壤整治需要，隨時終止種植，不得要求停耕補償。,完成控制並解除列管
臺中市,台中市北屯區松茂段685地號,X：219292，Y：2675963,無,臺中市北屯區松茂段685地號,農地,3000,2002/06/26,府授環第0910082667號,2006/02/21,府授環水字第0950027727號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘;鋅/無,土壤重金屬鎘、鋅超過食用作物農作土壤污染管制標準。,無,地上作物剷除、銷毀，並限制農地耕種食用作物。,完成控制並解除列管
臺中市,台中市南屯區寶山段1017地號,X：210589，Y：2672511,無,臺中市南屯區寶山段1017地號,農地,1900,2002/06/26,府授環第0910082668號,2006/02/21,府授環水字第0950027727號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;銅;鎳/無,土壤重金屬鉻、銅及鎳超過食用作物農作土壤污染管制標準。,無,地上作物剷除、銷毀，並限制農地耕種食用作物。,完成控制並解除列管
臺中市,台中市南屯區寶山段1003地號,X：210482，Y：2672325,無,臺中市南屯區寶山段1003地號,農地,2500,2004/01/30,府授環水字第0930005622號,2006/02/21,府授環水字第0950027727號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;鋅;鎳/無,重金屬鉻;鎳;鋅超過食用作物農地土壤污染管制標準,無,無,完成控制並解除列管
臺中市,台中市南屯區寶山段1004地號,X：210519，Y：2672360,無,臺中市南屯區寶山段1004地號,農地,3000,2004/01/30,府授環水字第0930005622號,2006/02/21,府授環水字第0950027727號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;銅;鎳/無,重金屬鉻;鎳;銅超過食用作物農地土壤污染管制標準,無,無,完成控制並解除列管
臺中市,台中市南屯區寶山段1005地號,X：210574，Y：2672383,無,臺中市南屯區寶山段1005地號,農地,4900,2004/01/30,府授環水字第0930005622號,2006/02/21,府授環水字第0950027727號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;鋅;鎳/無,重金屬鉻;鎳;鋅超過食用作物農地土壤污染管制標準,無,無,完成控制並解除列管
臺中市,台中市南屯區寶山段1012地號,X：210663，Y：2672395,無,臺中市南屯區寶山段1012地號,農地,9300,2004/01/30,府授環水字第0930005622號,2006/02/21,府授環水字第0950027727號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻/無,重金屬鉻超過食用作物農地土壤污染管制標準,無,無,完成控制並解除列管
臺中市,台中市南屯區寶山段1014地號,X：210622，Y：2672454,無,臺中市南屯區寶山段1014地號,農地,5700,2004/01/30,府授環水字第0930005622號,2006/02/21,府授環水字第0950027727號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;鎳/無,重金屬鉻;鎳超過食用作物農地土壤污染管制標準,無,無,完成控制並解除列管
臺中市,台中市南屯區寶山段1150地號,X：210830，Y：2672684,無,臺中市南屯區寶山段1150地號,農地,1500,2004/01/30,府授環水字第0930005622號,2006/02/21,府授環水字第0950027727號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻/無,重金屬鉻超過食用作物農地土壤污染管制標準,無,無,完成控制並解除列管
臺中市,台中市南屯區寶山段1155地號,X：210715，Y：2672728,無,臺中市南屯區寶山段1155地號,農地,2400,2004/01/30,府授環水字第0930005622號,2006/02/21,府授環水字第0950027727號,無,無,無,無,無,無,無,無,公告解除控制場址,鎳/無,重金屬鎳超過食用作物農地土壤污染管制標準,無,無,完成控制並解除列管
臺中市,台中市南屯區寶山段1158地號,X：210658，Y：2672751,無,臺中市南屯區寶山段1158地號,農地,2000,2004/01/30,府授環水字第0930005622號,2006/02/21,府授環水字第0950027727號,無,無,無,無,無,無,無,無,公告解除控制場址,銅/無,重金屬銅超過食用作物農地土壤污染管制標準,無,無,完成控制並解除列管
臺中市,台中市南屯區寶山段1164地號,X：210604，Y：2672729,無,臺中市南屯區寶山段1164地號,農地,1600,2004/01/30,府授環水字第0930005622號,2006/02/21,府授環水字第0950027727號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;銅;鎳/無,重金屬鉻;鎳;銅超過食用作物農地土壤污染管制標準,無,無,完成控制並解除列管
臺中市,台中市南屯區寶山段1189地號,X：210564，Y：2672568,無,臺中市南屯區寶山段1189地號,農地,3100,2004/01/30,府授環水字第0930005622號,2006/02/21,府授環水字第0950027727號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;銅;鎳/無,重金屬鉻;鎳;銅超過食用作物農地土壤污染管制標準,無,無,完成控制並解除列管
臺中市,台中市南屯區寶山段1203地號,X：210446，Y：2672393,無,臺中市南屯區寶山段1203地號,農地,3400,2004/01/30,府授環水字第0930005622號,2006/02/21,府授環水字第0950027727號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;銅;鎳/無,重金屬鉻;鎳;銅超過食用作物農地土壤污染管制標準,無,無,完成控制並解除列管
臺中市,台中市北屯區松茂段684地號,X：219273，Y：2675989,無,臺中市北屯區松茂段684地號,農地,600,2004/01/30,府授環水字第0930005623號,2006/02/21,府授環水字第0950027727號,無,無,無,無,無,無,無,無,公告解除控制場址,鎘;鋅/無,土壤重金屬鎘;鋅超過食用作物農地土壤污染管制標準,無,無,完成控制並解除列管
臺中市,神岡區前寮段259(部份),X：220107，Y：2683877,神岡區前寮段259(部份),神岡區前寮段259(部份),農地,238,2011/03/22,府授環水字第10000475762號,2013/11/13,府授環水字第1020214479號,無,無,無,無,無,無,無,無,公告解除控制場址,銅;鎳/無,重金屬銅超過食用作物農地土壤污染管制標準及土壤污染管制標準、鎳超過土壤污染管制標準,"1.農業使用，停耕中。2.神岡區前寮段258（部分）、88（部分）、259（部分）、259-1（部分）、234（部分）、241（部分）、242（部分）地號構成坵塊（面積1,219平方公尺）",上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀並強制停耕至改善完成為止，停耕期間予以補償停耕補償費，每年二期直至農地改善完成解除列管為止，若已請領休耕補償或停灌補償者，不得再申請停耕補償費。,完成控制並解除列管
臺中市,神岡區前寮段259-1(部份),X：220104，Y：2683872,神岡區前寮段259-1(部份),神岡區前寮段259-1(部份),農地,25,2011/03/22,府授環水字第10000475762號,2013/11/13,府授環水字第1020214479號,無,無,無,無,無,無,無,無,公告解除控制場址,銅;鎳/無,重金屬銅超過食用作物農地土壤污染管制標準及土壤污染管制標準、鎳超過土壤污染管制標準,"1.農業使用，停耕中。2.神岡區前寮段258（部分）、88（部分）、259（部分）、259-1（部分）、234（部分）、241（部分）、242（部分）地號構成坵塊（面積1,219平方公尺）",上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀並強制停耕至改善完成為止，停耕期間予以補償停耕補償費，每年二期直至農地改善完成解除列管為止，若已請領休耕補償或停灌補償者，不得再申請停耕補償費。,完成控制並解除列管
臺中市,神岡區前寮段234(部份之2),X：220077，Y：2683871,神岡區前寮段234(部份之2),神岡區前寮段234(部份之2),農地,506,2011/03/22,府授環水字第10000475762號,2013/11/13,府授環水字第1020214479號,無,無,無,無,無,無,無,無,公告解除控制場址,銅;鎳/無,重金屬銅超過食用作物農地土壤污染管制標準及土壤污染管制標準、鎳超過土壤污染管制標準,"1.農業使用，停耕中。2.神岡區前寮段258（部分）、88（部分）、259（部分）、259-1（部分）、234（部分）、241（部分）、242（部分）地號構成坵塊（面積1,219平方公尺）",上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀並強制停耕至改善完成為止，停耕期間予以補償停耕補償費，每年二期直至農地改善完成解除列管為止，若已請領休耕補償或停灌補償者，不得再申請停耕補償費。,完成控制並解除列管
臺中市,神岡區前寮段241(部份之2),X：220067，Y：2683852,神岡區前寮段241(部份之2),神岡區前寮段241(部份之2),農地,10,2011/03/22,府授環水字第10000475762號,2013/11/13,府授環水字第1020214479號,無,無,無,無,無,無,無,無,公告解除控制場址,銅;鎳/無,重金屬銅超過食用作物農地土壤污染管制標準及土壤污染管制標準、鎳超過土壤污染管制標準,"1.農業使用，停耕中。2.神岡區前寮段258（部分）、88（部分）、259（部分）、259-1（部分）、234（部分）、241（部分）、242（部分）地號構成坵塊（面積1,219平方公尺）",上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀並強制停耕至改善完成為止，停耕期間予以補償停耕補償費，每年二期直至農地改善完成解除列管為止，若已請領休耕補償或停灌補償者，不得再申請停耕補償費。,完成控制並解除列管
臺中市,神岡區前寮段242(部份),X：220067，Y：2683849,神岡區前寮段242(部份),神岡區前寮段242(部份),農地,1,2011/03/22,府授環水字第10000475762號,2013/11/13,府授環水字第1020214479號,無,無,無,無,無,無,無,無,公告解除控制場址,銅;鎳/無,重金屬銅超過食用作物農地土壤污染管制標準及土壤污染管制標準、鎳超過土壤污染管制標準,"1.農業使用，停耕中。2.神岡區前寮段258（部分）、88（部分）、259（部分）、259-1（部分）、234（部分）、241（部分）、242（部分）地號構成坵塊（面積1,219平方公尺）",上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀並強制停耕至改善完成為止，停耕期間予以補償停耕補償費，每年二期直至農地改善完成解除列管為止，若已請領休耕補償或停灌補償者，不得再申請停耕補償費。,完成控制並解除列管
臺中市,神岡區前寮段259(部份之2),X：220107，Y：2683893,神岡區前寮段259(部份之2),神岡區前寮段259(部份之2),農地,484,2011/03/22,府授環水字第10000475762號,2013/11/13,府授環水字第1020214479號,無,無,無,無,無,無,無,無,公告解除控制場址,銅;鋅;鎳/無,重金屬銅超過食用作物農地土壤污染管制標準及土壤污染管制標準、鎳超過土壤污染管制標準、鋅超過食用作物農地土壤污染管制標準,1.農業使用，停耕中。2.神岡區前寮段259（部分）、260（部分）、88（部分）、259-1（部分）、258（部分）地號構成坵塊（面積574平方公尺）,上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀並強制停耕至改善完成為止，停耕期間予以補償停耕補償費，每年二期直至農地改善完成解除列管為止，若已請領休耕補償或停灌補償者，不得再申請停耕補償費。,完成控制並解除列管
臺中市,神岡區前寮段259-1(部份之2),X：220077，Y：2683879,神岡區前寮段259-1(部份之2),神岡區前寮段259-1(部份之2),農地,15,2011/03/22,府授環水字第10000475762號,2013/11/13,府授環水字第1020214479號,無,無,無,無,無,無,無,無,公告解除控制場址,銅;鋅;鎳/無,重金屬銅超過食用作物農地土壤污染管制標準及土壤污染管制標準、鎳超過土壤污染管制標準、鋅超過食用作物農地土壤污染管制標準,1.農業使用，停耕中。2.神岡區前寮段259（部分）、260（部分）、88（部分）、259-1（部分）、258（部分）地號構成坵塊（面積574平方公尺）,上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀並強制停耕至改善完成為止，停耕期間予以補償停耕補償費，每年二期直至農地改善完成解除列管為止，若已請領休耕補償或停灌補償者，不得再申請停耕補償費。,完成控制並解除列管
臺中市,神岡區前寮段258(部份之2),X：220110，Y：2683881,神岡區前寮段258(部份之2),神岡區前寮段258(部份之2),農地,21,2011/03/22,府授環水字第10000475762號,2013/11/13,府授環水字第1020214479號,無,無,無,無,無,無,無,無,公告解除控制場址,銅;鋅;鎳/無,重金屬銅超過食用作物農地土壤污染管制標準及土壤污染管制標準、鎳超過土壤污染管制標準、鋅超過食用作物農地土壤污染管制標準,1.農業使用，停耕中。2.神岡區前寮段259（部分）、260（部分）、88（部分）、259-1（部分）、258（部分）地號構成坵塊（面積574平方公尺）,上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀並強制停耕至改善完成為止，停耕期間予以補償停耕補償費，每年二期直至農地改善完成解除列管為止，若已請領休耕補償或停灌補償者，不得再申請停耕補償費。,完成控制並解除列管
臺中市,神岡區前寮段258(部份),X：220078，Y：2683886,神岡區前寮段258(部份),神岡區前寮段258(部份),農地,425,2011/03/22,府授環水字第10000475762號,2013/11/13,府授環水字第1020214479號,無,無,無,無,無,無,無,無,公告解除控制場址,銅;鎳/無,重金屬銅超過食用作物農地土壤污染管制標準及土壤污染管制標準、鎳超過土壤污染管制標準,"1.農業使用，停耕中。2.神岡區前寮段258（部分）、88（部分）、259（部分）、259-1（部分）、234（部分）、241（部分）、242（部分）地號構成坵塊（面積1,219平方公尺）",上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀並強制停耕至改善完成為止，停耕期間予以補償停耕補償費，每年二期直至農地改善完成解除列管為止，若已請領休耕補償或停灌補償者，不得再申請停耕補償費。,完成控制並解除列管
臺中市,大里區詹厝園段131-1(部分)地號,X：216472，Y：2664873,臺中市大里區詹厝園段131-1(部分)地號,臺中市大里區詹厝園段131-1(部分)地號,農地,484,2007/08/06,府授環水字第09600524853號,2013/06/11,府授環水字第1020104949號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;鎳/無,重金屬銅超過食用作物農地土壤污染管制標準,"1.農業使用，停耕中。2.詹厝園段170-1（部分）、131-1（部分）、131-2（部分）、131-4（部分）、170-3（部分）、166-2（部分）、170-5（部分）地號構成坵塊（面積2,717平方公尺）",上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀並強制停耕至改善完成為止，停耕期間予以補償停耕補償費,完成控制並解除列管
臺中市,大里區詹厝園段131-2(部分)地號,X：216493，Y：2664866,臺中市大里區詹厝園段131-2(部分)地號,臺中市大里區詹厝園段131-2(部分)地號,農地,465,2011/03/22,府授環水字第10000475762號,2013/06/11,府授環水字第1020104949號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;鎳/無,重金屬鉻、鎳超過土壤污染管制標準,"1.農業使用，停耕中。2.詹厝園段170-1（部分）、131-1（部分）、131-2（部分）、131-4（部分）、170-3（部分）、166-2（部分）、170-5（部分）地號構成坵塊（面積2,717平方公尺）",上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀並強制停耕至改善完成為止，停耕期間予以補償停耕補償費,完成控制並解除列管
臺中市,大里區詹厝園段131-4(部分)地號,X：216497，Y：2664857,臺中市大里區詹厝園段131-4(部分)地號,臺中市大里區詹厝園段131-4(部分)地號,農地,43,2011/03/22,府授環水字第10000475762號,2013/06/11,府授環水字第1020104949號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;鎳/無,重金屬鉻、鎳超過土壤污染管制標準,"1.農業使用，停耕中。2.詹厝園段170-1（部分）、131-1（部分）、131-2（部分）、131-4（部分）、170-3（部分）、166-2（部分）、170-5（部分）地號構成坵塊（面積2,717平方公尺）",上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀並強制停耕至改善完成為止，停耕期間予以補償停耕補償費,完成控制並解除列管
臺中市,大里區詹厝園段166-2(部分之2)地號,X：216511，Y：2664896,臺中市大里區詹厝園段166-2(部分)地號,臺中市大里區詹厝園段166-2(部分)地號,農地,22,2011/03/22,府授環水字第10000475762號,2013/06/11,府授環水字第1020104949號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;鎳/無,重金屬鉻、鎳超過土壤污染管制標準,"1.農業使用，停耕中。2.詹厝園段170-1（部分）、131-1（部分）、131-2（部分）、131-4（部分）、170-3（部分）、166-2（部分）、170-5（部分）地號構成坵塊（面積2,717平方公尺）",上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀，請土地所有人勿採收，土地將強制停耕至改善完成為止。土地所有人可依此公告向轄區公所申請停耕補償，每年二期直至農地改善完成解除列管為止，若已請領休耕補償或停灌補償者，不得再申請停耕補償費。,完成控制並解除列管
臺中市,大里區詹厝園段192(部分)地號,X：215966，Y：2664720,臺中市大里區詹厝園段192(部分)地號,臺中市大里區詹厝園段192(部分)地號,農地,217,2011/03/22,府授環水字第10000475762號,2013/06/11,府授環水字第1020104949號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;鎳/無,重金屬鉻、鎳超過土壤污染管制標準,"1.農業使用，停耕中。2.詹厝園段201（部分）、201-6（部分）、192（部分）地號構成坵塊（面積5,669平方公尺）",上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀並強制停耕至改善完成為止，停耕期間予以補償停耕補償費,完成控制並解除列管
臺中市,大里區詹厝園段201(部分)地號,X：216003，Y：2664751,臺中市大里區詹厝園段201(部分)地號,臺中市大里區詹厝園段201(部分)地號,農地,4048,2011/03/22,府授環水字第10000475762號,2013/06/11,府授環水字第1020104949號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;鎳/無,重金屬鉻、鎳超過土壤污染管制標準,"1.農業使用，停耕中。2.詹厝園段201（部分）、201-6（部分）、192（部分）地號構成坵塊（面積5,669平方公尺）",上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀並強制停耕至改善完成為止，停耕期間予以補償停耕補償費,完成控制並解除列管
臺中市,大里區詹厝園段201-6(部分)地號,X：215916，Y：2664834,臺中市大里區詹厝園段201-6(部分)地號,臺中市大里區詹厝園段201-6(部分)地號,農地,1404,2011/03/22,府授環水字第10000475762號,2013/06/11,府授環水字第1020104949號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;鎳/無,重金屬鉻、鎳超過土壤污染管制標準,"1.農業使用，停耕中。2.詹厝園段201（部分）、201-6（部分）、192（部分）地號構成坵塊（面積5,669平方公尺）",上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀並強制停耕至改善完成為止，停耕期間予以補償停耕補償費,完成控制並解除列管
臺中市,大里區詹厝園段185-2(部分)地號,X：216157，Y：2664861,臺中市大里區詹厝園段185-2(部分)地號,臺中市大里區詹厝園段185-2(部分)地號,農地,70,2011/03/22,府授環水字第10000475762號,2013/06/11,府授環水字第1020104949號,無,無,無,無,無,無,無,無,公告解除控制場址,鉻;鎳/無,重金屬鉻、鎳超過土壤污染管制標準,"1.農業使用，停耕中。2.詹厝園段176-63（部分）、185-2（部分）地號構成坵塊（面積1,810平方公尺）",上述農地因遭受重金屬污染，地上之食用作物均須剷除、銷毀並強制停耕至改善完成為止，停耕期間予以補償停耕補償費,完成控制並解除列管
